,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Government Renewables Action Tracker - Transaction Data (01/01/2015 - 06/30/2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Data,,,,,,Transaction Overview,,,,,,,,,Development and Operation Details,,,,,,,,Data Source Details,,,,,,,,,,,,,,,,,,,,,,,
Ref. No.,Buyer Name,State,City Latitude,City Longitude,ISO or FERC Region,Announcement Year,Announcement Year (or Operations Year if Announcement Year unavailable),Announcement Date,Technology,Transaction Type,Size of Purchase (MW),DC/AC,Contract Length (Year),Energy Price in Year 1 ($/MWh),Utility Name,Utility Type,Developer Name,Project Name,Project Location,Project State,Operation Start Year,Estimated Annual Generation (MWh),Source 1,Source 2,Source 3,Source 4,Source 5,Notes,,,,,,,,,,,,,,,,,,
783,Moorhead,Minnesota,46.8739081,-96.753867,MISO,,2017,,Solar,Community Solar,0.020,,,,Moorhead Public Service,Municipal Utility,,2017 Clay County's Community Solar Garden,Moorhead,Minnesota,2017,30,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Clay%20County%2020kW%20at%20MPS%20CSG#/dashboard,http://www.mpsutility.com/index.php/renewable-energy/333-capture-the-sun-community-solar-garden,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,
784,Moorhead,Minnesota,46.8739081,-96.753867,MISO,,2017,,Solar,Community Solar,0.020,,,,Moorhead Public Service,Municipal Utility,,Moorhead CSG III (2017 Community Solar Garden),Moorhead,Minnesota,2017,30,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Moorhead%20CSG%20III%2020kW#/dashboard,http://www.mpsutility.com/index.php/renewable-energy/333-capture-the-sun-community-solar-garden,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,
785,Moorhead,Minnesota,46.8739081,-96.753867,MISO,,2017,,Solar,Community Solar,0.020,,,,Moorhead Public Service,Municipal Utility,,2017 Concordia's Community Solar Garden,Moorhead,Minnesota,2017,30,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Concordia%2020kW%20at%20MPS%20CSG#/dashboard,http://www.mpsutility.com/index.php/renewable-energy/333-capture-the-sun-community-solar-garden,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,
786,Moorhead,Minnesota,46.8739081,-96.753867,MISO,,2017,,Solar,Community Solar,0.020,,,,Moorhead Public Service,Municipal Utility,,2017 MSUM's Community Solar Garden,Moorhead,Minnesota,2017,30,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=MSUM%2020kW%20at%20MPS%20CSG#/dashboard,http://www.mpsutility.com/index.php/renewable-energy/333-capture-the-sun-community-solar-garden,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,
787,Moorhead,Minnesota,46.8739081,-96.753867,MISO,,2018,,Solar,Community Solar,0.020,,,,Moorhead Public Service,Municipal Utility,,Moorhead CSG IV (2018 Community Solar Garden),Moorhead,Minnesota,2018,30,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Moorhead%20CSG%20IV%2020kW#/dashboard,http://www.mpsutility.com/index.php/renewable-energy/333-capture-the-sun-community-solar-garden,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,
788,Moorhead,Minnesota,46.8739081,-96.753867,MISO,,2019,,Solar,Community Solar,0.020,,,,Moorhead Public Service,Municipal Utility,,Moorhead CSG V (2019 Community Solar Garden),Moorhead,Minnesota,2019,30,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Moorhead%20CSG%20V%2020kW#/dashboard,http://www.mpsutility.com/index.php/renewable-energy/333-capture-the-sun-community-solar-garden,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,
789,Moorhead,Minnesota,46.8739081,-96.753867,MISO,,2015,,Solar,Community Solar,0.040,,,,Moorhead Public Service,Municipal Utility,,Moorhead CSG (2015 Community Solar Garden),Moorhead,Minnesota,2015,60,https://monitoringpublic.solaredge.com/solaredge-web/p/site/public?name=Moorhead%20CSG%2040kW#/dashboard,http://www.mpsutility.com/index.php/renewable-energy/333-capture-the-sun-community-solar-garden,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,
790,New Ulm,Minnesota,44.3140261,-94.4614177,MISO,2021,2021,09/22/2021,Wind,Long-term REC Purchase,5.500,,,,New Ulm Public Utilities,Municipal Utility,Heartland Consumers Power District,Wessington Springs Wind Energy Center,Jerauld County,South Dakota,,,https://www.publicpower.org/periodical/article/heartland-consumers-power-district-helps-new-ulm-public-utilities-reap-rec-windfall,,,,,,,,,,,,,,,,,,,,,,,
791,North St. Paul,Minnesota,45.0138115,-92.99992,MISO,2017,2017,,Solar,On-site,0.005,,,,Minnesota Municipal Power Agency,Joint Action Agency,,North High/District Education Center Solar Array,St. Paul,Minnesota,,,https://www.mmpa.org/energy-education/hometown-solar-grant-program/,,,,,,,,,,,,,,,,,,,,,,,
792,Olivia,Minnesota,44.77635,-94.989721,MISO,2016,2016,,Solar,On-site,0.005,,,,Minnesota Municipal Power Agency,Joint Action Agency,,BOLD High School Solar Array,Olivia,Minnesota,,,https://www.mmpa.org/energy-education/hometown-solar-grant-program/,,,,,,,,,,,,,,,,,,,,,,,
793,Red Wing,Minnesota,44.5624676,-92.533801,MISO,2016,2016,,Solar,Community Solar,6.120,,25,,Xcel Energy,Investor-owned Utility,IPS,Red Wing Community Solar Garden,Red Wing,Minnesota,2016,,https://www.postbulletin.com/news/local/red-wing-school-district-tests-economics-of-power/article_c4ba6f6e-49a9-5250-ba05-21fd3dce3681.html,https://ips-solar.com/projects/red-wing-community-solar-garden-6-mw/,,,,,,,,,,,,,,,,,,,,,,
794,Redwood County,Minnesota,44.3788613,-95.253237,MISO,,2017,,Solar,Community Solar,0.170,AC,,,Redwood Falls Public Utilities,Municipal Utility,,,,,2017,,https://votesolar.org/policy/policy-guides/shared-renewables-policy/mn-cs-project-map/,,,,,,,,,,,,,,,,,,,,,,,
795,Redwood County,Minnesota,44.3788613,-95.253237,MISO,2021,2021,01/12/2021,Solar,Community Solar,1.000,,,,Xcel,Non-municipal Public-owned Utility,Novel Energy Solutions,Swedes Forest Township community solar,Swedes Forest Township,Minnesota,,,https://www.redwoodfallsgazette.com/story/news/2021/01/13/redwood-county-board-holds-first-meeting-2021/4149837001/,,,,,,,,,,,,,,,,,,,,,,,
796,Saint Paul,Minnesota,44.9497487,-93.093103,MISO,2020,2020,06/23/2020,Solar,Community Solar,0.810,,,,Xcel Energy,Investor-owned Utility,"C2 Energy Capital, LLC",Como Park Zoo & Conservatory Solar Energy Project,St. Paul,Minnesota,2021,,https://www.prnewswire.com/news-releases/c2-energy-capital-and-the-city-of-st-paul-partner-on-new-solar-energy-project-for-the-como-park-zoo--conservatory-301081759.html,,,,,,,,,,,,,,,,,,,,,,,
797,Shakopee,Minnesota,44.7980186,-93.526899,MISO,2018,2018,,Solar,On-site,0.005,,,,Minnesota Municipal Power Agency,Joint Action Agency,,Eagle Creek Elementary School Solar Array,Shakopee,Minnesota,,,https://www.mmpa.org/energy-education/hometown-solar-grant-program/,,,,,,,,,,,,,,,,,,,,,,,
798,Shakopee,Minnesota,44.7980186,-93.526899,MISO,,2015,,Solar,On-site,1.000,,,,Xcel Energy,Investor-owned Utility,Oak Leaf Energy Partners,,Shakopee,Minnesota,2015,,http://www.startribune.com/solar-energy-facility-to-be-built-at-shakopee-water-treatment-plant/309359171/,,,,,,,,,,,,,,,,,,,,,,,
799,Shakopee,Minnesota,44.7980186,-93.526899,MISO,2015,2015,,Solar,Community Solar,3.000,,,,Xcel Energy,Investor-owned Utility,,Blue Lake Wastewater Treatmen Plant Community Solar Garden,Shakopee,Minnesota,2016,,http://www.startribune.com/solar-energy-facility-to-be-built-at-shakopee-water-treatment-plant/309359171/,,,,,,,,,,,,,,,,,,,,,,,
800,Southern Minnesota Municipal Power Agency,Minnesota,44.0234387,-92.463018,MISO,2016,2016,05/15/2016,Solar,Community Solar,4.720,AC,,,Southern Minnesota Municipal Power Agency,Joint Action Agency,"Enerparc, Lemond Solar Center LLC",Lemond Solar,,,2017,,https://smmpa.com/generation/lemond-solar-center,https://www.mmua.org/news/breaking-news/smmpa-partners-dedicate-lemond-solar-center,https://data.nrel.gov/submissions/131,,,,,,,,,,,,,,,,,,,,,
801,St. Cloud,Minnesota,45.5616075,-94.1642,MISO,2017,2017,,Solar,On-site,1.303,AC,,,Xcel Energy,Investor-owned Utility,,Various,St. Cloud Metro Area,Minnesota,,,http://https/coscgis.maps.arcgis.com/apps/MapSeries/index.html?appid=3eda048cccad4fff98c53bda421b5d88,,,,,,,,,,,,,,,,,,,,,,,
802,St. Cloud,Minnesota,45.5616075,-94.1642,MISO,2015,2015,10/19/2015,Solar,Community Solar,5.000,,,,Xcel Energy,Investor-owned Utility,SunEdison,,St. Cloud,Minnesota,2016,,https://www.sctimes.com/story/news/local/2015/10/19/st-cloud-moves-forward-community-solar-garden/74231392/,,,,,,,,,,,,,,,,,,,,,,,
803,St. Cloud,Minnesota,45.5616075,-94.1642,MISO,2017,2017,,Solar,Community Solar,18.478,AC,,,Xcel Energy,Investor-owned Utility,,Various,St. Cloud Metro Area,Minnesota,,"24,118",http://https/coscgis.maps.arcgis.com/apps/MapSeries/index.html?appid=3eda048cccad4fff98c53bda421b5d88,,,,,,,,,,,,,,,,,,,,,,,
804,St. Louis Park,Minnesota,44.9475726,-93.356902,MISO,2016,2016,,Solar,On-site,0.039,,,,Xcel Energy,Investor-owned Utility,TruNorth Solar,St. Louis Park’s Fire Station #2 solar rooftop,St. Louis Park,Minnesota,2017,42,https://www.stlouispark.org/Home/Components/News/News/148/,,,,,,,,,,,,,,,,,,,,,,,
805,St. Louis Park,Minnesota,44.9475726,-93.356902,MISO,2016,2016,,Solar,On-site,0.078,,,,Xcel Energy,Investor-owned Utility,,Municipal Service Center solar rooftop,St. Louis Park,Minnesota,2017,74,https://www.stlouispark.org/Home/Components/News/News/148/,,,,,,,,,,,,,,,,,,,,,,,
806,Winthrop,Minnesota,44.5430195,-94.366367,MISO,2016,2016,,Solar,On-site,0.005,,,,Minnesota Municipal Power Agency,Joint Action Agency,,Gibbon-Fairfax-Winthrop High School Solar Array,Winthrop,Minnesota,,,https://www.mmpa.org/energy-education/hometown-solar-grant-program/,,,,,,,,,,,,,,,,,,,,,,,
807,Lauderdale County,Mississippi,32.3905206,-88.689636,Southeast,,2022,,Solar,On-site,0.224,,16,,,,Entegrity,Lauderdale County School District Solar,Lauderdale,Mississippi,2022,,https://entegritypartners.com/projects/lauderdale-county-school-district/,https://www.wtok.com/2022/03/03/lauderdale-county-school-district-gets-new-solar-paneling/,,,,"After the success of the energy savings project, the District engaged Entegrity to aid in the design and implementation of the new Career and Technology Education Center that will offer a solar installation training facility. LCSD is partnering with Meridian Community College to offer dual enrollment credits for this solar program.",,,,,,,,,,,,,,,,,,
808,Starkville,Mississippi,33.4503998,-88.818387,Southeast,2021,2021,04/26/2021,Solar,Green Tariff,30.000,,,,Tennessee Valley Authority,Non-municipal Public-owned Utility,Origis Energy,MS Solar 5 – Golden Triangle I Solar + Storage. Under the Tennessee Valley Authority (TVA) Green Invest program,Lowndes County,Mississippi,2023,,https://cdispatch.com/news/2021-04-29/starkville-partners-with-tva-on-solar-energy-initiative/,https://www.starkvilleutilities.com/news/04262021.phtml,https://origisenergy.com/projects/ms-solar-5-golden-triangle/,,,,,,,,,,,,,,,,,,,,,
809,Blue Springs School District,Missouri,39.017316,-94.282265,SPP,,2020,,Solar,On-site,0.427,,,,Evergy,Investor-owned Utility,Artisun Solar,"Solar projects at Delta Woods Middle School, John Nowlin Elementary, Brittany Hills Middle School, and Chapel Lakes Elementary",Blue Springs School District,Missouri,2020,,https://artisunsolar.com/blue-springs-appreciates-green-solar/,,,,,,,,,,,,,,,,,,,,,,,
810,Chillicothe,Missouri,39.7948749,-93.553278,MISO,2016,2016,08/29/2016,Solar,Off-site Physical PPA,3.170,DC,20,,Chillicothe Municipal Utilities,Municipal Utility,MC Power,Chillicothe Solar Farm,Chillicothe ,Missouri,2017,"4,404",https://mpua.org/page/mjmeuc,http://www.chillicothecity.org/press_solarfarm.html,http://s39528.mini.alsoenergy.com/Dashboard//2a5669735064577a4343554b772b71553d,,,,,,,,,,,,,,,,,,,,,
811,Columbia,Missouri,38.9464035,-92.348463,MISO,2018,2018,04/16/2018,Biogas,On-site,0.800,,,,Columbia Water & Light,Municipal Utility,,Columbia Landfill Lateral Expansion Project,Columbia,Missouri,2022,,https://www.columbiamissourian.com/news/local/columbia-falls-short-of-2021-renewable-energy-goals/article_c865e1fe-9059-11ec-bb7a-636ea5a5ef98.html,https://www.como.gov/utilities/columbias-solid-waste-utility/landfill-lateral-expansion-project/,https://www.como.gov/wp-content/uploads/2021/07/FINAL-2021-Renewable-Plan.pdf,,,,,,,,,,,,,,,,,,,,,
812,Columbia,Missouri,38.9464035,-92.348463,MISO,2016,2016,12/05/2016,Wind,Off-site Physical PPA,18.000,,20,26.21,Columbia Water & Light,Municipal Utility,NextEra Energy,Crystal Lake III Wind Contract 2 - Phase II,Hancock County,Iowa,2023,"30,231",https://www.columbiamissourian.com/news/local/columbia-falls-short-of-2021-renewable-energy-goals/article_c865e1fe-9059-11ec-bb7a-636ea5a5ef98.html,https://www.como.gov/wp-content/uploads/2021/07/FINAL-2021-Renewable-Plan.pdf,https://www.como.gov/Council/Commissions/granicusagenda.php?granicusid=1068,,,,,,,,,,,,,,,,,,,,,
813,Columbia,Missouri,38.9464035,-92.348463,MISO,2016,2016,12/05/2016,Wind,Off-site Physical PPA,27.000,,20,21.00,Columbia Water & Light,Municipal Utility,NextEra Energy,Crystal Lake III Wind Contract 2 - Phase I,Hancock County,Iowa,2017,"45,347",https://www.columbiamissourian.com/news/local/columbia-falls-short-of-2021-renewable-energy-goals/article_c865e1fe-9059-11ec-bb7a-636ea5a5ef98.html,https://www.como.gov/wp-content/uploads/2021/07/FINAL-2021-Renewable-Plan.pdf,https://www.como.gov/Council/Commissions/granicusagenda.php?granicusid=1068,,,,,,,,,,,,,,,,,,,,,
814,Columbia,Missouri,38.9464035,-92.348463,MISO,2017,2017,06/05/2017,Wind,Off-site Physical PPA,35.000,,,,Columbia Water & Light,Municipal Utility,Engie,Ironstar Wind,Ford County,Kansas,2025,"122,640",https://www.columbiamissourian.com/news/local/columbia-falls-short-of-2021-renewable-energy-goals/article_c865e1fe-9059-11ec-bb7a-636ea5a5ef98.html,https://www.como.gov/wp-content/uploads/2021/07/FINAL-2021-Renewable-Plan.pdf,https://www.engie-na.com/wind/iron_star/,https://www.columbiamissourian.com/news/local/columbia-to-purchase-citys-cheapest-wind-energy-contract-yet/article_508658c8-4a1b-11e7-8165-47d083a77c58.html,,,,,,,,,,,,,,,,,,,,
815,Columbia,Missouri,38.9464035,-92.348463,MISO,2019,2019,11/18/2019,Solar,Off-site Physical PPA,64.000,,20,31.65,Columbia Water & Light,Municipal Utility,Boone Stephens Solar I,Boone Stephens Solar I,Boone County,Missouri,2024,"142,000",https://www.columbiamissourian.com/news/local/columbia-falls-short-of-2021-renewable-energy-goals/article_c865e1fe-9059-11ec-bb7a-636ea5a5ef98.html,https://www.columbiamissourian.com/news/local/city-council-unanimously-approves-plan-for-more-solar-energy/article_cfdc2192-0987-11ea-b7ee-0f2375828254.html,,,,,,,,,,,,,,,,,,,,,,
816,Columbia,Missouri,38.9464035,-92.348463,MISO,2021,2021,05/11/2021,Solar,Off-site Physical PPA,10.000,,30,44.82,Columbia Water & Light,Municipal Utility,Truman Solar LLC,Truman Solar,Columbia ,Missouri,2021,"23,567",https://www.como.gov/CMS/pressreleases/view.php?id=7370&tbiframe=1,https://www.columbiamissourian.com/news/local/here-comes-the-sun-35-000-panels-on-new-city-solar-site-are-sending-electricity/article_5ad687a6-ea4b-11eb-9919-7f1191245c41.html,,,,,,,,,,,,,,,,,,,,,,
817,El Dorado Springs,Missouri,37.8769799,-94.02133,SPP,,2018,,Solar,Off-site Physical PPA,3.170,DC,,,City of El Dorado Springs Utilities,Municipal Utility,MC Power,El Dorado Solar Farm,El Dorado Springs,Missouri,2018,"4,050",https://mpua.org/page/mjmeuc,https://mpua.org/news/403832/El-Dorado-Springs-solar-farm-dedicated-May-31st.htm,http://s41401.mini.alsoenergy.com/Dashboard//2a566973496657334141454b772b71553d,,,,,,,,,,,,,,,,,,,,,
818,Higginsville,Missouri,39.0752352,-93.717257,SPP,,2017,,Solar,Off-site Physical PPA,3.170,DC,,,City of Higginsville Electric Department,Municipal Utility,MC Power,Higginsville Solar Farm,Higginsville,Missouri,2017,"4,331",https://mpua.org/page/mjmeuc,https://mpua.org/news/378465/Downloading-daylight-Higginsville-solar-farm-dedicated-Dec.-6.htm,http://s40252.mini.alsoenergy.com/Dashboard/2a566973496647764641304b772b714d3d,,,,,,,,,,,,,,,,,,,,,
819,Independence,Missouri,39.0924792,-94.413792,SPP,,2017,,Solar,Community Solar,3.000,AC,,,Independence Power & Light,Municipal Utility,MC Power Companies,Independence Community Solar (Phase 1) ,,Missouri,2017,"5,256",http://www.ci.independence.mo.us/article/5121,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,,
820,Independence,Missouri,39.0924792,-94.413792,SPP,2016,2016,,Solar,Community Solar,3.850,DC,25,,Independence Power & Light,Municipal Utility,MC Power Companies,Independence Community Solar Farm,Independence,Missouri,2016,"6,651",https://www.kansascity.com/news/local/article49597320.html,https://www.publicpower.org/periodical/article/independence-power-light-offers-community-solar-project,https://www.mcpower.com/solar-projects,,,,,,,,,,,,,,,,,,,,,
821,Independence,Missouri,39.0924792,-94.413792,SPP,,2018,,Solar,Community Solar,4.000,AC,,,Independence Power & Light,Municipal Utility,MC Power Companies,"Independence Community Solar (Phase 2, Bundschu site expansion) ",,Missouri,2018,"6,925",https://www.indyenergy.org/community-solar,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,,
822,Independence,Missouri,39.0924792,-94.413792,SPP,2017,2017,11/22/2017,Solar,Community Solar,4.500,AC,,,Independence Power & Light,Municipal Utility,MC Power Companies,"Independence Community Solar (Phase 2, former Rockwood golf course location)",,Missouri,2018,"7,791",http://www.ci.independence.mo.us/article/5121,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,,
823,Joplin,Missouri,37.08418,-94.51323,SPP,2021,2021,11/30/2021,Solar,Community Solar,2.250,,10,,Liberty Utilities,Investor-owned Utility,,Joplin School District community solar farm (Liberty's Community Solar Pilot Program),Jasper County,Missouri,,,https://www.joplinglobe.com/news/local_news/joplin-school-district-signs-on-to-solar-power-program-with-liberty/article_d94fff72-5125-11ec-8668-2f0112a5ee21.html,,,,,,,,,,,,,,,,,,,,,,,
824,Kansas City,Missouri,39.100105,-94.578142,SPP,2022,2022,03/08/2022,Solar,On-site,0.168,DC,,,Evergy,Investor-owned Utility,Good Energy Solutions,Kansas City International Airport Solar Awning System,Kansas City,Missouri,,,https://www.buildkci.com/new-terminal-garage-is-going-green/,"https://newsroom.evergy.com/2021-05-11-Wind-farm-powers-Kansas-City-International-Airport,-large-businesses",,,,,,,,,,,,,,,,,,,,,,
825,Kansas City,Missouri,39.100105,-94.578142,SPP,2020,2020,10/20/2020,Wind,Green Tariff,18.275,,15,17.00,Evergy,Investor-owned Utility,Tradewind Energy (subsidiary of Enel Green Power North America),Cimarron Bend Wind Farm,Clark and Meade Counties,Kansas,2020,"65,839","https://newsroom.evergy.com/2021-05-11-Wind-farm-powers-Kansas-City-International-Airport,-large-businesses",https://cityrenewables.org/index.php?gf-download=2021%2F05%2FRD-MW-addendum-City-20201020.pdf&form-id=2&field-id=21&hash=9e719916115ae8607df32914b2efd8d69769ea637465c76a746eb9ac4f85a1f0,City contact,,,,,,,,,,,,,,,,,,,,,
826,Lebanon,Missouri,37.6806669,-92.663784,MISO,,2017,,Solar,Off-site Physical PPA,3.170,DC,,,City of Lebanon Utilities Department,Municipal Utility,MC Power,Lebanon Solar Farm,Lebanon,Missouri,2017,"4,281",https://mpua.org/page/mjmeuc,https://www.ky3.com/content/news/Construction-complete-on-new-solar-farm-in-Lebanon-439081043.html,http://s39529.mini.alsoenergy.com/Dashboard//2a5669735064577a4343454b772b71733d,https://irp-cdn.multiscreensite.com/7761cd9f/files/uploaded/Lebanon%2C%20MO%20Solar%20Farm.pdf,,,,,,,,,,,,,,,,,,,,
827,Marshall,Missouri,39.1230777,-93.19687,SPP,2015,2015,,Solar,Off-site Physical PPA,3.170,DC,25,,Marshall Municipal Utiltiies,Municipal Utility,MC Power,Marshall Solar Farm,Marshall,Missouri,2016,"4,267",https://mpua.org/page/mjmeuc,https://www.marshallnews.com/story/2377769.html,http://s36512.mini.alsoenergy.com/Dashboard//2a56697350656d7a4241304b772b71513d,,,,,,,,,,,,,,,,,,,,,
828,Missouri Joint Municipal Electric Utility Commission,Missouri,38.9464035,-92.348463,MISO,2015,2015,06/30/2015,Solar,Off-site Physical PPA,6.500,,,,Missouri Joint Municipal Electric Utility Commission (MJMEUC),Joint Action Agency,MC Power,Macon and Trenton Solar Farms,Macon,Missiouri,2015,"4,990",https://www.gardnercapital.com/news/gardner-capital-mc-power-companies-dedicate-macon-missouri-solar-farm-july-1/,https://www.gardnercapital.com/news/gardner-capital-mc-power-companies-dedicate-macon-missouri-solar-farm-july-1/,,,,,,,,,,,,,,,,,,,,,,
829,Missouri Joint Municipal Electric Utility Commission,Missouri,38.9464035,-92.348463,SPP,2020,2020,06/18/2020,Wind,Off-site Physical PPA,30.000,,12,,Missouri Joint Municipal Electric Utility Commission (MJMEUC),Joint Action Agency,Enel Green Power North America,Cimarron Bend Wind Farm Expansion,Clark County,Kansas,,,https://www.enelgreenpower.com/our-projects/operating/cimarron-bend-wind-project,,,,,,,,,,,,,,,,,,,,,,,
830,Rolla,Missouri,37.9509324,-91.770808,MISO,2015,2015,11/02/2015,Solar,Off-site Physical PPA,3.170,DC,25,,Rolla Municipal Utilities,Municipal Utility,MC Power,Rolla Solar Farm,Rolla,Missouri,2016,"4,250",https://mpua.org/page/mjmeuc,https://www.therolladailynews.com/article/20160128/NEWS/160128886,https://irp-cdn.multiscreensite.com/7761cd9f/files/uploaded/Rolla%20Solar%20Farm.pdf,https://www.therolladailynews.com/article/20151105/NEWS/151109381,,,,,,,,,,,,,,,,,,,,
831,St. Louis,Missouri,38.6529545,-90.241117,SPP,,2019,,Solar,Community Solar,1.000,,,,Ameren,Investor-owned Utility,,Community solar project at St. Louis Lambert International Airport,St. Louis,Missouri,2019,,https://www.stltoday.com/business/local/ameren-and-st-louis-city-officials-separately-announce-new-solar-energy-initiatives/article_ce232b88-598b-5a67-af93-9f8c79f881a2.html,https://www.stltoday.com/business/local/ameren-solar-project-begins-operation-near-airport-as-plans-brew-to-expand-the-program/article_5e679011-85c3-5e91-8693-8812aec65b29.html,,,,,,,,,,,,,,,,,,,,,,
832,West Plains,Missouri,36.7281652,-91.8525756,Southeast,2020,2020,12/01/2020,Solar,On-site,10.800,,30,,Evergy,Investor-owned Utility,Evergy,West Plains Solar Array,West Plains,Missouri,2022,,https://www.ky3.com/2022/04/08/city-west-plains-mo-celebrates-states-largest-municipal-solar-farm/,https://westplains.gov/first-panels-installed-at-west-plains-solar-array/,https://www.ozarkradionews.com/local-news/solar-farm-in-west-plains-will-be-largest-municipal-owned-farm-in-state,,,,,,,,,,,,,,,,,,,,,
833,Missoula County,Montana,46.9653891,-113.9232612,Northwest,2021,2021,06/15/2021,Solar,On-site,0.432,,25,85,Missoula Electric Cooperative,Cooperative,"OnSite Energy, Saroc Energy",Missoula County Detention Facility Solar Array,Missoula County,Montana,2021,440,https://missoulian.com/news/local/largest-rooftop-solar-array-in-montana-now-operational-at-missoula-jail/article_59f619e6-a4aa-5e1c-9fd0-b3b312cf656c.html,https://missoulaelectric.com/about/mec/,https://www.kulr8.com/regional/county-approves-contract-for-solar-panels-on-roof-of-missoula-jail/article_dd705874-dba3-5464-b2ac-e82b0368feb6.html,https://www.missoulacounty.us/government/community-development/community-planning-services/sustainability-and-community-resiliency/detention-center-solar-array-faqs-17001,https://missoulacurrent.com/business/2021/06/solar-array-atop-jail/,,,,,,,,,,,,,,,,,,,
834,Beatrice,Nebraska,40.266429,-96.747369,SPP,2017,2017,07/17/2017,Wind,Off-site Physical PPA,16.100,,25,15.88,Beatrice Board of Public Works,Municipal Utility,NextEra Energy,Cottonwood Wind Project,Webster County,Nebraska,2017,,https://www.beatrice.ne.gov/bc-pw/page/board-public-works-meeting-47,https://neo.ne.gov/programs/stats/inf/89.htm,https://www.beatrice.ne.gov/mayor-council/page/mayor-city-council-meeting-64,,,,,,,,,,,,,,,,,,,,,
835,Burt County,Nebraska,41.855662,-96.33579,SPP,2021,2021,05/28/2021,Solar,Off-site Physical PPA,1.400,AC,20,,Burt County Public Power(BCPPD),Non-municipal Public-owned Utility,Bluestem Energy Solutions,,Burt and Dodge counties ,Nebraska,2021,,https://www.agupdate.com/community/groundbreaking-solar-storage-facility-now-operational-in-burt-county/article_eff46aca-c92a-11eb-8a26-0b1261855d0b.html,https://fremonttribune.com/news/local/burt-county-solar-plus-storage-project-now-fully-operational/article_23544652-1f4a-5ad0-9d47-de95aa95d1dd.html,,,,,,,,,,,,,,,,,,,,,,
836,Central City,Nebraska,41.1158475,-98.001725,SPP,,2017,,Solar,Community Solar,0.075,AC,,,City of Central City,Municipal Utility,,Central City Community Solar garden,,,2017,,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,,,
837,Columbus,Nebraska,41.4296258,-97.368429,SPP,,2017,,Solar,Community Solar,5.760,AC,,,Nebraska Public Power District (NPPD),Non-municipal Public-owned Utility,,Sunwise Community Solar,,,2017,,https://data.nrel.gov/submissions/114,,,,,,,,,,,,,,,,,,,,,,,
838,Cozad,Nebraska,40.8595822,-99.9858546,SPP,2021,2021,08/17/2021,Solar,Off-site Physical PPA,2.400,DC,30,,Nebraska Public Power District (NPPD),Joint Action Agency,N Solar,Solar system at 2nd and Monroe Streets ,Cozad,Nebraska,2021,,https://www.globenewswire.com/en/news-release/2021/08/17/2282260/0/en/N-Solar-and-Cozad-Cut-the-Ribbon-at-City-s-New-Solar-Energy-Facility.html,https://www.solarpowerworldonline.com/2021/08/n-solar-completes-2-4-mw-municipal-solar-array-cozad-nebraska/,,,,,,,,,,,,,,,,,,,,,,
839,Fort Calhoun,Nebraska,41.4558282,-96.026402,SPP,,2019,,Solar,Community Solar,5.000,AC,,,Omaha Public Power District,Non-municipal Public-owned Utility,,OPPD Community Solar,,,2019,,https://data.nrel.gov/submissions/131,,,,,,,,,,,,,,,,,,,,,,,
840,Fremont,Nebraska,41.4338363,-96.496045,SPP,,2018,,Solar,Community Solar,1.280,AC,,,City of Fremont,Municipal Utility,,Solar Farm One (Phase II),,,2018,,https://data.nrel.gov/submissions/131,,,,,,,,,,,,,,,,,,,,,,,
841,Fremont,Nebraska,41.4338363,-96.496045,SPP,2017,2017,,Solar,Community Solar,1.550,,,,City of Fremont,Municipal Utility,,Solar Farm One,Fremont,Nebraska,2018,"1,712",https://fremonttribune.com/news/solar-farm-becomes-reality-in/article_1b0e9856-f63a-574a-a397-1127a9a93e16.html,,,,,,,,,,,,,,,,,,,,,,,
