Region,RE or Non-RE,Group Technology,Year,Electricity Installed Capacity (MW),Electricity Generation (GWh),Heat Generation (TJ),Public Flows (2022 USD M),SDG 7a1 Intl. Public Flows (2022 USD M)
Africa,Total Non-Renewable,Pumped storage,2001,1400.00,1700.25,,,
Africa,Total Non-Renewable,Pumped storage,2002,1400.00,2483.50,,,
Africa,Total Non-Renewable,Pumped storage,2003,1400.00,2918.75,,,
Africa,Total Non-Renewable,Pumped storage,2004,1633.00,3510.50,,,
Africa,Total Non-Renewable,Pumped storage,2005,1864.00,3516.30,,,
Africa,Total Non-Renewable,Pumped storage,2006,1864.00,3529.50,,,
Africa,Total Non-Renewable,Pumped storage,2007,1864.00,3387.30,,,
Africa,Total Non-Renewable,Pumped storage,2008,1864.00,3267.45,,,
Africa,Total Non-Renewable,Pumped storage,2009,1864.00,3133.30,,,
Africa,Total Non-Renewable,Pumped storage,2010,1864.00,3063.25,,,
Africa,Total Non-Renewable,Pumped storage,2011,1864.00,3093.05,,,
Africa,Total Non-Renewable,Pumped storage,2012,1864.00,3180.00,,,
Africa,Total Non-Renewable,Pumped storage,2013,1864.00,3117.65,,,
Africa,Total Non-Renewable,Pumped storage,2014,1864.00,3446.00,,,
Africa,Total Non-Renewable,Pumped storage,2015,1864.00,3362.20,,,
Africa,Total Non-Renewable,Pumped storage,2016,2863.00,3606.75,,,
Africa,Total Non-Renewable,Pumped storage,2017,3196.00,4562.75,,,
Africa,Total Non-Renewable,Pumped storage,2018,3196.00,4866.64,,,
Africa,Total Non-Renewable,Pumped storage,2019,3196.00,5333.50,,,
Africa,Total Non-Renewable,Pumped storage,2020,3196.00,5283.70,,,
Africa,Total Non-Renewable,Pumped storage,2021,3196.00,5150.35,,,
Africa,Total Non-Renewable,Pumped storage,2022,3196.00,5000.91,,,
Africa,Total Non-Renewable,Pumped storage,2023,3196.00,4472.51,,,
Africa,Total Non-Renewable,Pumped storage,2024,3546.00,,,,
Africa,Total Non-Renewable,Fossil fuels,2000,72208.62,321954.94,,98.02,
Africa,Total Non-Renewable,Fossil fuels,2001,74501.95,341317.36,,1059.90,
Africa,Total Non-Renewable,Fossil fuels,2002,75292.76,368736.17,,96.22,
Africa,Total Non-Renewable,Fossil fuels,2003,79190.84,394407.82,,27.69,
Africa,Total Non-Renewable,Fossil fuels,2004,80784.22,412192.29,,154.35,
Africa,Total Non-Renewable,Fossil fuels,2005,85362.89,431246.06,,521.03,
Africa,Total Non-Renewable,Fossil fuels,2006,88468.95,455581.05,,375.81,
Africa,Total Non-Renewable,Fossil fuels,2007,94027.63,476244.72,,141.07,
Africa,Total Non-Renewable,Fossil fuels,2008,97799.45,482305.30,,672.92,
Africa,Total Non-Renewable,Fossil fuels,2009,103139.08,492193.22,,5435.39,
Africa,Total Non-Renewable,Fossil fuels,2010,109732.80,521234.82,,5052.87,
Africa,Total Non-Renewable,Fossil fuels,2011,114105.26,538254.55,,2128.78,
Africa,Total Non-Renewable,Fossil fuels,2012,119196.81,563966.24,,2712.66,
Africa,Total Non-Renewable,Fossil fuels,2013,125931.57,574148.77,,1507.06,
Africa,Total Non-Renewable,Fossil fuels,2014,131646.72,593928.31,,2931.17,
Africa,Total Non-Renewable,Fossil fuels,2015,136585.14,611444.85,,2178.90,
Africa,Total Non-Renewable,Fossil fuels,2016,146356.54,604659.16,,1986.84,
Africa,Total Non-Renewable,Fossil fuels,2017,156810.40,625101.06,,1198.16,
Africa,Total Non-Renewable,Fossil fuels,2018,172216.22,636778.05,,309.98,
Africa,Total Non-Renewable,Fossil fuels,2019,177235.88,646653.20,,792.25,
Africa,Total Non-Renewable,Fossil fuels,2020,181648.96,619987.97,,1265.92,
Africa,Total Non-Renewable,Fossil fuels,2021,184953.05,643489.32,,525.28,
Africa,Total Non-Renewable,Fossil fuels,2022,187469.93,676424.84,,294.92,
Africa,Total Non-Renewable,Fossil fuels,2023,189498.25,668521.87,,688.14,
Africa,Total Non-Renewable,Fossil fuels,2024,191499.57,,,,
Africa,Total Non-Renewable,Nuclear,2000,1940.00,11291.75,,,
Africa,Total Non-Renewable,Nuclear,2001,1940.00,11673.00,,,
Africa,Total Non-Renewable,Nuclear,2002,1940.00,12495.00,,,
Africa,Total Non-Renewable,Nuclear,2003,1940.00,13875.75,,,
Africa,Total Non-Renewable,Nuclear,2004,1940.00,16254.00,,,
Africa,Total Non-Renewable,Nuclear,2005,1940.00,12697.75,,,
Africa,Total Non-Renewable,Nuclear,2006,1940.00,11658.25,,0.09,
Africa,Total Non-Renewable,Nuclear,2007,1940.00,11432.75,,1.59,
Africa,Total Non-Renewable,Nuclear,2008,1940.00,12582.25,,12.20,
Africa,Total Non-Renewable,Nuclear,2009,1940.00,12855.50,,29.71,
Africa,Total Non-Renewable,Nuclear,2010,1940.00,12275.75,,49.59,
Africa,Total Non-Renewable,Nuclear,2011,1940.00,13151.25,,1.65,
Africa,Total Non-Renewable,Nuclear,2012,1940.00,12341.00,,1.62,
Africa,Total Non-Renewable,Nuclear,2013,1940.00,13568.00,,0.66,
Africa,Total Non-Renewable,Nuclear,2014,1940.00,13872.00,,5.08,
Africa,Total Non-Renewable,Nuclear,2015,1940.00,12626.25,,19.68,
Africa,Total Non-Renewable,Nuclear,2016,1940.00,14328.75,,,
Africa,Total Non-Renewable,Nuclear,2017,1940.00,14401.25,,10.97,
Africa,Total Non-Renewable,Nuclear,2018,1940.00,12233.25,,2665.33,
Africa,Total Non-Renewable,Nuclear,2019,1940.00,12834.00,,1.03,
Africa,Total Non-Renewable,Nuclear,2020,1940.00,10740.25,,0.92,
Africa,Total Non-Renewable,Nuclear,2021,1934.00,11742.00,,7.47,
Africa,Total Non-Renewable,Nuclear,2022,1940.00,10593.66,,6.11,
Africa,Total Non-Renewable,Nuclear,2023,1934.00,8579.75,,19.32,
Africa,Total Non-Renewable,Nuclear,2024,1934.00,,,,
Africa,Total Non-Renewable,Other non-renewable energy,2015,,,,0.09,
Africa,Total Non-Renewable,Other non-renewable energy,2016,,,,0.01,
Africa,Total Non-Renewable,Other non-renewable energy,2017,,,,0.05,
Africa,Total Non-Renewable,Other non-renewable energy,2018,,,,17.12,
Africa,Total Non-Renewable,Other non-renewable energy,2020,,,,0.33,
Africa,Total Non-Renewable,Other non-renewable energy,2021,,,,62.08,
Africa,Total Non-Renewable,Other non-renewable energy,2023,,,,0.20,
Americas,Total Renewable,Geothermal energy,2000,4045.55,22607.44,,,
Americas,Total Renewable,Geothermal energy,2001,3463.55,22189.02,,,
Americas,Total Renewable,Geothermal energy,2002,3517.05,22812.19,,0.04,0.04
Americas,Total Renewable,Geothermal energy,2003,3516.05,23815.16,,0.23,0.22
Americas,Total Renewable,Geothermal energy,2004,3530.55,24762.96,,0.09,0.10
Americas,Total Renewable,Geothermal energy,2005,3681.55,26791.50,,0.10,0.11
Americas,Total Renewable,Geothermal energy,2006,3670.55,26156.91,,0.09,0.09
Americas,Total Renewable,Geothermal energy,2007,3686.77,27397.37,,8.29,8.73
Americas,Total Renewable,Geothermal energy,2008,3708.95,27266.40,,1.38,1.48
Americas,Total Renewable,Geothermal energy,2009,3861.35,27123.74,,0.01,0.01
Americas,Total Renewable,Geothermal energy,2010,3809.35,27472.26,,73.71,76.88
Americas,Total Renewable,Geothermal energy,2011,3790.10,27726.73,,17.54,18.52
Americas,Total Renewable,Geothermal energy,2012,4074.10,27709.44,,233.88,238.33
Americas,Total Renewable,Geothermal energy,2013,4104.10,28541.41,,8.41,9.15
Americas,Total Renewable,Geothermal energy,2014,4019.10,28789.79,,259.77,290.91
Americas,Total Renewable,Geothermal energy,2015,4080.00,28985.42,,844.25,878.46
Americas,Total Renewable,Geothermal energy,2016,4070.50,28725.81,,316.14,327.17
Americas,Total Renewable,Geothermal energy,2017,4120.80,29347.90,,1338.01,1306.45
Americas,Total Renewable,Geothermal energy,2018,4097.20,28331.46,,94.20,98.44
Americas,Total Renewable,Geothermal energy,2019,4289.64,28349.75,,40.03,42.57
Americas,Total Renewable,Geothermal energy,2020,4307.34,29083.38,,98.65,102.15
Americas,Total Renewable,Geothermal energy,2021,4365.82,28252.82,,81.76,87.51
Americas,Total Renewable,Geothermal energy,2022,4465.71,28747.41,,27.05,28.74
Americas,Total Renewable,Geothermal energy,2023,4518.08,28702.16,,4.83,
Americas,Total Renewable,Geothermal energy,2024,4547.28,,,,
Americas,Total Renewable,Marine energy,2000,20.00,32.00,,,
Americas,Total Renewable,Marine energy,2001,20.00,32.00,,,
Americas,Total Renewable,Marine energy,2002,20.00,32.00,,,
Americas,Total Renewable,Marine energy,2003,20.00,33.00,,,
Americas,Total Renewable,Marine energy,2004,20.00,31.00,,,
Americas,Total Renewable,Marine energy,2005,20.00,28.00,,,
Americas,Total Renewable,Marine energy,2006,20.00,19.00,,,
Americas,Total Renewable,Marine energy,2007,20.00,23.00,,,
Americas,Total Renewable,Marine energy,2008,20.00,15.00,,0.01,0.01
Americas,Total Renewable,Marine energy,2009,20.00,30.00,,,
Americas,Total Renewable,Marine energy,2010,20.00,28.00,,,
Americas,Total Renewable,Marine energy,2011,20.00,26.00,,,
Americas,Total Renewable,Marine energy,2012,20.10,27.09,,,
Americas,Total Renewable,Marine energy,2013,20.19,15.09,,,
Americas,Total Renewable,Marine energy,2014,20.24,16.11,,0.06,0.07
Americas,Total Renewable,Marine energy,2015,20.06,13.09,,,
Americas,Total Renewable,Marine energy,2016,20.09,19.06,,,
Americas,Total Renewable,Marine energy,2017,20.09,6.06,,,
Americas,Total Renewable,Marine energy,2018,20.05,20.06,,,
Americas,Total Renewable,Marine energy,2019,20.05,1.04,,0.01,0.01
Americas,Total Renewable,Marine energy,2020,0.55,1.04,,,
Americas,Total Renewable,Marine energy,2021,0.55,1.04,,0.01,0.01
Americas,Total Renewable,Marine energy,2022,1.25,1.04,,0.24,0.26
Americas,Total Renewable,Marine energy,2023,1.25,1.00,,,
Americas,Total Renewable,Marine energy,2024,1.25,,,,
Americas,Total Renewable,Bioenergy,2000,15131.64,79172.79,22722.00,0.10,0.11
Americas,Total Renewable,Bioenergy,2001,16226.12,76709.79,15550.00,0.07,0.07
Americas,Total Renewable,Bioenergy,2002,16961.12,82279.24,19456.00,166.37,0.24
Americas,Total Renewable,Bioenergy,2003,17726.71,84476.86,28637.00,128.09,0.63
Americas,Total Renewable,Bioenergy,2004,17976.84,86734.44,13723.00,25.12,
Americas,Total Renewable,Bioenergy,2005,18452.61,89272.35,17421.00,212.89,0.05
Americas,Total Renewable,Bioenergy,2006,19263.20,89858.91,38877.00,334.35,1.36
Americas,Total Renewable,Bioenergy,2007,20611.13,95368.24,44033.00,200.77,0.53
Americas,Total Renewable,Bioenergy,2008,21289.19,96253.11,40614.00,641.37,2.50
Americas,Total Renewable,Bioenergy,2009,23384.71,101131.48,43177.00,548.37,10.34
Americas,Total Renewable,Bioenergy,2010,25625.04,112943.83,39938.00,629.66,33.79
Americas,Total Renewable,Bioenergy,2011,26828.03,116690.11,36704.00,350.38,88.80
Americas,Total Renewable,Bioenergy,2012,28640.02,123752.46,37850.00,311.19,74.62
Americas,Total Renewable,Bioenergy,2013,31586.35,134350.32,37653.00,89.94,84.22
Americas,Total Renewable,Bioenergy,2014,33056.42,143618.50,41521.00,111.52,10.74
Americas,Total Renewable,Bioenergy,2015,34269.48,148092.20,39594.00,559.70,84.28
Americas,Total Renewable,Bioenergy,2016,35200.95,152861.23,49746.00,27.62,3.06
Americas,Total Renewable,Bioenergy,2017,35931.75,154608.39,48711.84,78.88,73.60
Americas,Total Renewable,Bioenergy,2018,36035.47,155340.87,46522.30,250.20,134.28
Americas,Total Renewable,Bioenergy,2019,35406.46,151994.80,50012.51,65.25,0.01
Americas,Total Renewable,Bioenergy,2020,35866.70,151729.19,48174.07,233.33,213.51
Americas,Total Renewable,Bioenergy,2021,36060.96,148897.57,46951.94,98.81,73.60
Americas,Total Renewable,Bioenergy,2022,36736.12,142917.02,42590.09,133.50,77.88
Americas,Total Renewable,Bioenergy,2023,37184.89,143197.00,42586.79,60.75,
Americas,Total Renewable,Bioenergy,2024,37450.43,,,,
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2000,279816.00,1201574.91,,182.34,191.79
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2001,281038.94,1072592.96,,119.41,141.42
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2002,286340.77,1190319.45,,1459.30,124.09
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2003,288728.08,1207571.31,,2281.26,3.77
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2004,291591.75,1231278.11,,1764.81,1.61
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2005,294906.11,1291007.98,,750.39,299.73
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2006,298742.40,1329104.39,,1786.61,1074.92
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2007,302745.63,1319649.38,,2783.53,97.83
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2008,304825.24,1354882.66,,3923.37,18.13
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2009,307463.99,1367946.48,,8092.65,55.37
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2010,311203.31,1352010.16,,4963.56,4077.39
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2011,315355.86,1487778.78,,4651.92,2066.46
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2012,320519.51,1423011.66,,10670.02,897.63
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2013,326197.24,1396773.55,,2182.53,1017.90
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2014,330091.04,1364898.92,,4705.90,3696.93
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2015,337675.48,1331585.37,,581.63,321.71
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2016,356723.16,1367177.98,,2562.95,1743.84
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2017,358694.56,1434781.33,,363.94,308.95
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2018,360993.31,1432313.06,,577.73,265.98
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2019,362736.39,1403193.28,,88.90,18.28
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2020,363841.28,1399336.36,,123.32,73.04
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2021,366312.17,1343882.44,,219.77,239.94
Americas,Total Renewable,Hydropower (excl. Pumped Storage),2022,369028.07,1444569.06,,108.53,110.15
