,12,City and County of Honolulu,Hawaii,,,1,,Complete,2018-2019,"The County of Hawaii and the City and County of Honolulu filed comments and attended a number of Hawaii PUC stakeholder workshops designed to build common understanding and collaboration regarding the expansion of performance-based regulation (PBR) for the Hawaiian Electric Companies (HECO Companies). The County agreed with the inclusion of Social Equity as a named outcome in the PBR process, under the goal of ""Advancing Societal Outcomes"" and nominated an additional metric for this outcome: rate reductions for low-income customers. This shows the County's focus on reducing the negative impact of high electricity rates on the large number of residents currently living at or below the poverty line.",,Hawaiian Electric Companies (HECO Companies),IOU,"Docket No. 2018-0088
https://dms.puc.hawaii.gov/dms/dockets?action=search&docketNumber=2018-0088
https://dms.puc.hawaii.gov/dms/DocumentViewer?pid=A1001001A18H27B05249I00570",,,
,13,County of Hawaii,Hawaii,1,,,,Ongoing,2018-present,"The County of Hawaii, Hawaii, has engaged with the Hawaii Public Utility Commission (PUC) on an investigation of performance-based regulation (PBR). The county participated in technical workshops and filed written comments in which it supported the adoption of distributed energy resources and incentivizing the local utility, HECO, to accelerate its greenhouse gas reduction efforts, which were part of a broader, statewide consensus about promoting alternative fuels.",,Hawaiian Electric Companies,IOU,"DOCKET NO. 2018-0088

https://dms.puc.hawaii.gov/dms/DocumentViewer?pid=A1001001A19C11A92746G00075",19.683885,-155.393159,NA
,14,County of Hawaii,Hawaii,1,,,,Complete,2017,"The County of Hawaii, Hawaii, submitted a statement of position regarding Hawaii Electric Company (HECO)'s revised and supplemented Power Supply Improvement Plans (PSIPs). The statement commends HECO's effort to contribute to the state's 100% renewable energy goal, while also requesting that HECO make provisions for stakeholder and community engagement during plan development and implementation, rate affordability, microgrid development, distributed generation pilots, among others.",,Hawaiian Electric Companies,IOU,"DOCKET NO. 2014-0183

https://dms.puc.hawaii.gov/dms/DocumentViewer?pid=A1001001A17B15A93229C25744",19.683885,-155.393159,NA
,15,Indianapolis ,Indiana,1,,1,,Complete,2019,"The City of Indianapolis, Indiana, engaged with its utility, Indianapolis Power & Light (IPL), and the Indiana Utility Regulatory Commission (IURC) on IPL’s Integrated Resource Plan (IRP). The City participated in IPL's public stakeholder meetings, encouraged IPL to explore a more aggressive retirement scenario for the Petersburg Coal Generating Station through both a public letter and Corporation Council resolution, and submitted comments on the IRP to the Indiana Utility Regulatory Commission (IURC). The City intended to encourage IPL and the IURC to improve the draft IRP, create a more thorough planning process, and plan future energy investments to better support the City's stated goals in its “Thrive Indianapolis” plan of 100% renewable energy for municipal operations by 2028 and 100% community-wide renewable energy by 2050.",,Indianapolis Power & Light (IPL) ,IOU,"ACCC Meeting 

This resolution, letter, and comments are officially public.

https://www.sierraclub.org/sites/www.sierraclub.org/files/Councillor%20Letter%20to%20IPL%20ParisiFINAL.pdf",39.768500,-86.158100,MISO
,16,Baltimore,Maryland,,1,,,Complete,2019,"The City of Baltimore supported the expansion of Maryland's Renewable Portfolio Standard (RPS). After two years of efforts by many advocates and supporters, the state legislature approved a bill increasing Maryland's RPS to 50% of its total grid by 2030 and requiring the state government to examine pathways for achieving 100% clean power by 2040.",,,,https://www.utilitydive.com/news/maryland-50-rps-bill-doubles-offshore-wind-target-expands-solar-carve-out/552421/,39.290400,-76.612200,PJM
,17,Ann Arbor,Michigan,1,,,,Complete,2019-2020,"The City of Ann Arbor, Michigan, engaged state regulators during its utility's Integrated Resource Plan (IRP) process. In 2019, Ann Arbor submitted a letter to the Michigan Public Service Commission stating that DTE Energy, the local utility, was not generating or purchasing enough renewable energy for the city to meet its goals and requested permission to become a formal intervenor in the IRP process. The City stated that the utility undervalued the benefits of renewable energy, failed to account for the social cost of carbon, and put up barriers to local renewable energy generation. The City became a formal intervenor in the case and, along with others, pushed the Michigan Public Service Commission to demand that the utility further enable the use of renewables in the final, updated IRP.",,DTE,IOU,"https://mi-psc.force.com/sfc/servlet.shepherd/version/download/068t0000004RJu6AAG

https://mi-psc.force.com/sfc/servlet.shepherd/version/download/068t000000ABiHpAAL",42.279594,-83.732124,MISO
,18,Minneapolis,Minnesota,,,1,,Ongoing,2014–present,"The City of Minneapolis, Minnesota, developed a city-utility partnership agreement during its re-negotiation of franchise agreements with Xcel Energy and CenterPoint Energy. The Clean Energy Agreements signed with both utilities outlined shared clean energy goals and established a collaborative Clean Energy Partnership to help the city reach its 2040 goals. This partnership effort has resulted in annual work plans, quarterly public meetings, and several published reports on seven metrics relating to greenhouse gas emissions, energy efficiency, and renewable electricity.",,Xcel Energy,IOU,"https://mplscleanenergypartnership.org/

https://mplscleanenergypartnership.org/wp-content/uploads/2014/12/2018-CEP-Annual-Report_FINAL.pdf",44.986656,-93.258133,MISO
,19,Minneapolis,Minnesota,1,,,,Ongoing,2019-present,"The City of Minneapolis, Minnesota, submitted comments to Xcel Energy's 2020-2034 Integrated Resource Plan (IRP) in 2019. The city requested that Xcel Energy consider scenarios in which the utility forgoes a proposed acquisition of the Mankato Energy Center natural gas facility and instead invests in additional renewable energy resources, demand side management, and energy storage. Later that year, the city also filed a petition to formally intervene as a party to the IRP before the Minnesota Public Services Commission.",,Xcel Energy,IOU,"Docket No. E002/RP-19-368

https://www.edockets.state.mn.us/EFiling/edockets/searchDocuments.do?method=showPoup&documentId={D038466E-0000-CC17-AA46-03CB71AA04E3}&documentTitle=201911-157300-01

https://www.edockets.state.mn.us/EFiling/edockets/searchDocuments.do?method=showPoup&documentId={10054A6C-0000-CC10-9D6D-F7A4C4B17CA3}&documentTitle=20197-154870-01",44.986656,-93.258133,MISO
,20,Minneapolis,Minnesota,1,,,,Complete,2019-2020,"The City of Minneapolis, Minnesota, in collaboration with Target Corporation and various other companies, filed comments before the Minnesota Public Utilities Commission regarding Xcel Energy's proposed changes to its PV Demand Credit. The group supported inclusion of the credit in Xcel's next rate case and, additionally, recommended that Xcel make changes to its credit calculation methodology to more accurately reflect solar value and make storage systems credit-eligible. The Minnesota Public Utilities Commission adopted some of the city's recommendations by ordering Xcel Energy to extend the length of the program to 2027, remove a discount to the credit value in the near term, and give credit to commercial customers for the full year of solar production.",,Xcel Energy,IOU,"Docket No. E999/CI-15-115

https://www.edockets.state.mn.us/EFiling/edockets/searchDocuments.do?method=showPoup&documentId=%7bA0B24570-0000-CD3B-991F-843CF6EB9106%7d&documentTitle=20202-160459-02",44.986656,-93.258133,MISO
,21,Minneapolis ,Minnesota ,,,1,,Complete,2021,"The City of Minneapolis was a formal intervener and submitted public comments for Xcel Energy’s Integrated Resource Plan. The city focused its comments on racial equity and summarized input from community-based organizations, BIPOC (Black, Indigenous, and People of Color) community leaders, and City of Minneapolis advisory groups. The city also urged Xcel Energy to accelerate its coal plant retirements without adding new natural gas capacity. The PUC requested Xcel Energy remove the new natural gas plant from their proposed scenario.",,Xcel,IOU,https://www.edockets.state.mn.us/EFiling/edockets/searchDocuments.do?method=showPoup&documentId=%7b50349377-0000-C41F-B925-C461E7ED6F3F%7d&documentTitle=20212-170898-01,44.986656,-93.258133,MISO
,22,Missoula,Montana,1,,,,Complete,2019,"Missoula City and Missoula County, Montana, jointly filed two letters commenting on NorthWestern Energy's 2019 Electrical Supply Resource Procurement Plan. Both the city and the county requested that NorthWestern consider the long-term costs of climate change when pursuing the ""lowest cost"" resources and accelerate the replacement of a coal plant, Colstrip Unit 4, by purchasing renewable energy, developing energy storage capacity, reinstating an energy audit program, and emphasizing energy efficiency measures and demand response.",,NorthWestern,IOU,https://www.northwesternenergy.com/docs/default-source/documents/defaultsupply/plan19/volume2/response-to-public-comments.pdf,46.872146,-113.993998,Northwest
,23,Missoula   ,Montana,,,1,,Complete,2020,The City of Missoula and Missoula County entered into a Memorandum of Understanding (MOU) with investor-owned utility NorthWestern Energy. The MOU commits the three entities to working together in support of the city and county's goal of 100% clean electricity by 2030 and requires the development of an implementation plan and annual reporting on progress. ,,NorthWestern,IOU,"https://missoulacurrent.com/business/2020/06/missoula-clean-energy-future/

https://www.engagemissoula.com/missoulas-100-clean-electricity-initiative",46.872100,-113.994000,Northwest
,24,Missoula County,Montana,1,,,,Complete,2019,"Missoula City and Missoula County, Montana, jointly filed two letters commenting on NorthWestern Energy's 2019 Electrical Supply Resource Procurement Plan. Both the city and the county requested that NorthWestern consider the long-term costs of climate change when pursuing the ""lowest cost"" resources and accelerate the replacement of a coal plant, Colstrip Unit 4, by purchasing renewable energy, developing energy storage capacity, reinstating an energy audit program, and emphasizing energy efficiency measures and demand response.",,NorthWestern,IOU,https://www.northwesternenergy.com/docs/default-source/documents/defaultsupply/plan19/volume2/response-to-public-comments.pdf,46.939971,-113.968607,Northwest
,25,Missoula County,Montana,,,1,,Complete,2020,The City of Missoula and Missoula County entered into a Memorandum of Understanding (MOU) with investor-owned utility NorthWestern Energy. The MOU commits the three entities to working together in support of the city and county's goal of 100% clean electricity by 2030 and requires the development of an implementation plan and annual reporting on progress. ,,NorthWestern,IOU,"https://missoulacurrent.com/business/2020/06/missoula-clean-energy-future/

https://www.engagemissoula.com/missoulas-100-clean-electricity-initiative",46.939971,-113.968607,Northwest
,26,Albuquerque,New Mexico,1,,,,Complete,2019-2020,"The City of Albuquerque, New Mexico, supported its utility's efforts to create a new green tariff. In 2019–2020, the city spoke at meetings of the New Mexico Public Regulatory Commission in support of the Solar Direct green tariff proposed by their utility, PNM Resources. If the program is approved, Albuquerque will purchase 25 MW of renewable energy through this tariff, which would provide enough electricity to supply 58% of the city's annual electricity needs and move the city much closer to its 100% renewable energy goal.",,PNM,IOU,https://www.abqjournal.com/1321916/city-of-abq-helps-drive-new-50-megawatt-solar-energy-facility.html,35.106766,-106.629181,Southwest
,27,Multiple Cities (Coalition of Sustainable Communities New Mexico - CSCNM),New Mexico,,1,,,Ongoing,2019-present,"The Coalition of Sustainable Communities New Mexico (CSCNM) is a coalition of New Mexico’s cities, counties and Native American pueblos, nations and tribes. This nonprofit, nonpartisan membership organization was active in developing and advocating for community solar legislation (HB210, SB281) in the 2019 state legislative session. Although the bill was not passed in the state senate, in 2020 the state passed Senate Memorial 63 to form a community solar working group in preparation for the 2021 legislative session.  ",Coalition of Sustainable Communities New Mexico (CSCNM),,,"https://www.coalitionscnm.org/services

https://www.coalitionscnm.org/membership",,,Southwest
,28,Asheville,North Carolina,1,,,,Complete,2021,"The City of Asheville submitted written comments to the North Carolina Utility Commission (NCUC) on the rulemaking proceeding to implement performance-based regulation (PBR). The City outlined recommendations for Performance Incentive Mechanisms (PIMs), Multi-year Rate Plan (MYRP) process rules, and transparency and stakeholder engagement. PIMs recommendations included accelerating the achievement of the carbon reduction targets in the upcoming Carbon Plan, ensuring equitable deployment of renewable distributed energy resources (DERs), improving affordability and reducing energy burden for low-income customers, boosting electrification of transportation (EoT), and enhancing energy efficiency (EE) & demand-side metrics (DSM) program deployment. The MYRP comments were largely centered around holding utilities accountable to ensure affordability and equity. The City addressed that it is key for the decisions in this rulemaking process to align with the City's renewable energy, GHG reduction, and equity goals. ",,Duke Energy,IOU,https://starw1.ncuc.gov/NCUC/ViewFile.aspx?Id=134c3c5d-9e36-41cc-b25d-44ff438c25cc,35.593030,-82.544815,Southeast
,29,Asheville and Buncombe County,North Carolina,,,1,,Complete,2021,"The City of Asheville and Buncombe County formally intervened and submitted initial comments on Duke Energy's 2020 Integrated Resource Plan to encourage equitable solutions for all. They suggested that Duke Energy could explore competitive, all-source procurement, proactively promote EV adoption, expand energy efficiency programs, and expand both distributed and utility-scale renewables. They also offered to expand partnership with Duke Energy to create a reliable, affordable, resilient, and equitable system, which would benefit both Duke Energy and local communities.",,Duke Energy,IOU,https://starw1.ncuc.net/NCUC/ViewFile.aspx?Id=c592249c-b91f-43a3-a759-8e974326b826,35.595970,-82.553285,Southeast
,30,Cary,North Carolina,,,1,,Complete,2021,The Town of Cary submitted public comments on Duke Energy's 2020 Integrated Resource Plan. The Town recognized the essential role Duke's IRP would play in achieving Cary's carbon reduction goals and showed support for a carbon-free electric generation future. ,,Duke Energy,IOU,https://starw1.ncuc.net/NCUC/ViewFile.aspx?Id=02fbf630-068a-46e5-a02b-86a0772885f8,35.802579,-78.785684,Southeast
,31,Charlotte,North Carolina,,,1,,Complete,2021,"The City of Charlotte formally intervened and submitted initial comments on Duke Energy's 2020 Integrated Resource Plan with a focus on equity. The City suggested that Duke Energy could accelerate carbon reduction in Duke Energy’s grid mix, expand the use of or access to renewable energy, expand beneficial electrification, and maximize the use of energy efficiency and expand access to efficiency programs for low-income customers. These requests would significantly influence Charlotte's ability to achieve the Strategic Energy Action Plan (SEAP) goals. ",,Duke Energy,IOU,https://starw1.ncuc.net/NCUC/ViewFile.aspx?Id=066d6aeb-73b6-45d8-817a-7cab0fe603d8,35.227085,-80.843124,Southeast
,32,Charlotte,North Carolina,1,,,,Complete,2021,"The City of Charlotte has engaged with the North Carolina Utility Commission (NCUC) on the rulemaking proceeding to implement performance-based regulation (PBR). The City submitted written comments in which it required NCUC to examine how the decisions would benefit and burden communities, particularly low-income communities of color. The City was committed to continuing working with Duke Energy to address the energy burden. ",,Duke Energy,IOU,https://starw1.ncuc.net/NCUC/ViewFile.aspx?Id=a57744ea-9a33-48d5-a897-319a361009bc,35.227085,-80.843124,Southeast
,33,Charlotte,North Carolina,1,,,,Complete,2022,The City of Charlotte has incorporated North Carolina Utilities Commission (NCUC) engagement as a core element of its Strategic Energy Action Plan (SEAP) implementation strategy. The City is one of the first to secure approval for long-term engagement with its PUC with the objective of accelerating its climate action plan. ,,Duke Energy,IOU,https://charlottenc.gov/CityCouncil/Committees/EEE/April-18-2022-Summary-Minutes-EEE.pdf,35.227085,-80.843124,Southeast
,34,Charlotte ,North Carolina,,,1,,Complete,2018,"The City of Charlotte, North Carolina, signed a memorandum of understanding (MOU) with Duke Energy Carolinas to establish a ""Low Carbon, Smart City Collaboration"". This MOU states that the parties will collaborate where possible to make Charlotte ""a global leader in utilizing low carbon, local, renewable energies, while using data, technology and collaboration to create a more sustainable and efficient city for all Charlotteans."" After implementation of this MOU, the parties created 2-year work plans focused on, but not limited to, projects on smart technology, energy efficiency, fuel switching for the mobile and stationary sectors, resilience, and transparency and data access. ",,Duke Energy ,IOU,https://charlottenc.gov/sustainability/seap/SEAP/Duke%20MOU.PDF,35.227085,-80.843124,Southeast
,35,Multiple Local Governments in North Carolina,North Carolina,,,1,,Complete,2021,"11 local governments in North Carolina jointly submitted public comments on Duke Energy's 2020 Integrated Resource Plan to encourage an equitable clean energy transition. These local governments include the Town of Boone, Town of Carrboro, Town of Chapel Hill, City of Durham, Durham County, City of Greensboro, Town of Hillsborough, Town of Matthews, Orange County, City of Raleigh, and the City of Wilmington. The group made five major recommendations to Duke Energy, including: retire its coal power plants as soon as possible, update analysis methods to fully value the contribution of energy efficiency programs, expand the distributed generation and utility-scale renewable energy solutions, conduct a robust technological and economic analysis of the transmission investments, and actively promote EV adoption. The group also recommends Duke Energy engage historically disadvantaged communities in developing its IRP. In particular, the City of Raleigh submitted additional comments to urge NCUC to hold Duke Energy accountable in the integrated resource planning process to make the net-zero goal viable. This joint letter marked a collective effort to put priority on energy transition and demonstrate collaborative leadership to both North Carolinians and the nation. ",Multiple Local Governments in North Carolina,Duke Energy,IOU,https://starw1.ncuc.net/NCUC/ViewFile.aspx?Id=bf1e6203-0b2b-410d-9917-132ffbda49a6,,,Southeast
,36,Multiple Local Governments in North Carolina,North Carolina,,,1,,Ongoing,2021-present,"20 local governments participated in the stakeholder meetings for Duke Energy Carolinas Carbon Plan. These local governments include City of Asheville, City of Charlotte, City of Greensboro, City of Greenville, City of Henderson, City of Salisbury, City of Wilmington, Buncombe County, Chatham County, Durham County, Mecklenburg County, Person County, Polk County, Wake County, Town of Apex, Town of Boone, Town of Cary, Town of Chapel Hill, Town of Davidson, and Town of Polkville. In the three stakeholder meetings, participating local governments provided feedback on the criteria and desired outcomes of the Carbon Plan and other topics including portfolio development and evaluation, development of Duke Energy's ""grid edge"" programs, and the analysis and methodology for estimating potential transmission cost impacts arising from the Carbon Plan. The proposed Carbon Plan portfolios and pathways are expected to achieve 70% carbon emissions reductions under a range of potential future conditions. It is anticipated that some of these local governments will provide feedback on Duke Energy's Carbon Plan by July 15, 2022. ",Multiple Local Governments in North Carolina,Duke Energy,IOU,"First meeting: https://starw1.ncuc.net/NCUC/ViewFile.aspx?Id=ffaa74fc-bcdf-4cb1-a298-8b6c473e86e4

Second meeting: https://starw1.ncuc.net/NCUC/ViewFile.aspx?Id=ee416822-5ea1-491c-889e-d3c59f163a06

Third meeting: https://starw1.ncuc.gov/NCUC/ViewFile.aspx?Id=bab530be-daa1-43af-8e58-4a3ba43729dd",,,Southeast
,37,Beaverton,Oregon,1,,,,Complete,2019,"The City of Beaverton, Oregon, alongside five other Oregon cities, provided testimony to the Oregon Public Utility Commission (PUC) in support of Portland General Electric (PGE)'s green tariff program, Green Future Impact. Beaverton Mayor Denny Doyle testified on the city's Climate Action Plan (CAP), the mitigation actions that Beaverton is taking to reduce greenhouse gas emissions, and the role that the proposed green tariff could play in helping the city realize its CAP. Since the tariff's approval, Beaverton has enrolled in the program along with various other local governments and businesses.",,Portland General Electric,IOU,https://edocs.puc.state.or.us/efdocs/HAO/um1690hao131534.pdf,45.485168,-122.804489,Northwest
,38,Gresham,Oregon,1,,,,Complete,2019,"The City of Gresham, Oregon, alongside five other Oregon cities, provided testimony to the Oregon Public Utility Commission (PUC) in support of Portland General Electric (PGE)'s green tariff program, Green Future Impact. Gresham Mayor Shane Bemis testified on the actions that the city has taken on clean energy, its reasons for taking such actions, and the role that the proposed green tariff could play in the future. Since the tariff's approval, several local governments and businesses have enrolled in the program.",,Portland General Electric,IOU,https://edocs.puc.state.or.us/efdocs/HAO/um1690hao131534.pdf,45.4981757,-122.4314796,Northwest
,39,Hillsboro,Oregon,1,,,,Complete,2019,"The City of Hillsboro, Oregon, alongside five other Oregon cities, provided testimony to the Oregon Public Utility Commission (PUC) in support of Portland General Electric (PGE)'s green tariff program, Green Future Impact. Hillsboro Mayor Steve Callaway testified on the city's environmental sustainability goals and related projects, as well as on the role that the proposed green tariff could play in achieving such goals. Since the tariff's approval, Hillsboro has enrolled in the program along with various other local governments and businesses.",,Portland General Electric,IOU,https://edocs.puc.state.or.us/efdocs/HAO/um1690hao131534.pdf,45.522896,-122.98983,Northwest
,40,Milwaukie,Oregon,1,,,,Complete,2019,"The City of Milwaukie, Oregon, alongside five other Oregon cities, provided testimony to the Oregon Public Utility Commission (PUC) in support of Portland General Electric (PGE)'s green tariff program, Green Future Impact. Milwaukie Mayor Mark Gamba testified on the city's vision for 2040 and related environmental goals; its ""planet"" goals that are currently underway; and the role that the proposed green tariff could play in helping achieve such goals. Since the tariff's approval, Milwaukie and has enrolled in the program along with various other local governments and businesses.",,Portland General Electric,IOU,https://edocs.puc.state.or.us/efdocs/HAO/um1690hao131534.pdf,45.446231,-122.639261,Northwest
,41,Portland,Oregon,1,,,,Complete,2019,"The City of Portland, Oregon, alongside five other Oregon cities, submitted comments and provided testimony to the Oregon Public Utility Commission (PUC) in support of Portland General Electric (PGE)'s green tariff program, Green Future Impact. Portland Mayor Ted Wheeler testified on the city's Climate Action Plan (CAP); steps that Portland intends to take to achieve its CAP goals; the role that the proposed green tariff could play in achieving such goals; and the city's previous engagements with PGE to green its electricity supply. Since the tariff's approval, Portland has enrolled in the program along with various other local governments and businesses..",,Portland General Electric,IOU,"https://edocs.puc.state.or.us/efdocs/HAO/um1690hao131534.pdf

https://www.portlandgeneral.com/our-company/news-room/news-releases/2018/04-16-2018-pge-seeks-approval-for-new-renewable-power-program

https://www.spglobal.com/marketintelligence/en/news-insights/trending/wahotbwt641ztebnzvwrlg2",45.523452,-122.676207,Northwest
